timestamp_utc,participant,stimulus_type,font_size,motion,input_mode,frame_motion,shaking,text_color_mode,background_mode,min_delay_sec,max_delay_sec,repetitions,trial,stimulus,reaction_time_ms
2025-11-24T07:28:29.381221,Petr,Letters,Small,Static,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,8,S,703.3
2025-11-24T07:28:29.381221,Petr,Letters,Small,Static,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,9,Y,986.74
2025-11-24T07:28:29.381221,Petr,Letters,Small,Static,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,10,N,783.14
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,1,Z,3144.3
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,2,S,1306.15
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,3,I,886.53
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,4,B,911.69
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,5,B,1259.96
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,6,V,1681.1
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,7,S,830.35
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,8,H,1800.79
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,9,N,1161.24
2025-11-24T07:30:17.128053,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Random colors,Random colors,2.0,3.0,10,10,V,807.76
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,1,D,1513.24
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,2,S,1213.73
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,3,D,1028.87
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,4,W,751.94
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,5,T,1021.72
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,6,W,891.0
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,7,V,1114.49
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,8,M,1056.71
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,9,W,685.49
2025-11-24T07:32:16.523794,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Random colors,Random colors,0.5,3.0,10,10,A,674.38
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,1,C,1738.49
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,2,O,1385.34
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,3,S,790.36
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,4,R,1190.09
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,5,C,1139.77
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,6,U,1120.67
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,7,C,1046.67
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,8,V,813.75
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,9,O,1066.51
2025-11-24T07:33:30.935739,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Black,Random colors,0.5,7.0,10,10,T,1102.79
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,1,D,1664.35
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,2,E,1874.48
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,3,M,1053.03
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,4,N,927.97
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,5,U,1151.42
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,6,Y,1631.8
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,7,G,971.81
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,8,V,1283.08
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,9,C,1078.7
2025-11-24T07:35:33.641971,Petr,Letters,Large,Moving,Text field + Enter,Static frame,False,Random colors,White,2.0,7.0,10,10,V,1624.8
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,1,S,1492.3
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,2,F,1595.59
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,3,A,861.71
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,4,P,1449.46
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,5,M,984.2
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,6,L,877.46
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,7,L,1242.67
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,8,M,967.03
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,9,R,1052.77
2025-11-24T07:38:22.500468,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,10,O,1249.76
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,1,U,1369.22
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,2,D,2015.26
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,3,A,651.31
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,4,H,866.01
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,5,B,676.21
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,6,T,930.18
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,7,J,645.94
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,8,N,734.46
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,9,Q,1182.07
2025-11-24T07:39:16.212979,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,White,0.5,3.0,10,10,G,729.27
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,1,I,1419.2
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,2,Y,2354.18
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,3,F,1080.75
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,4,X,1090.61
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,5,A,642.22
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,6,W,850.21
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,7,U,1589.98
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,8,J,733.14
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,9,H,1130.02
2025-11-24T07:41:09.197875,Petr,Letters,Small,Static,Text field + Enter,Static frame,False,Black,Random colors,2.0,3.0,10,10,C,1147.69
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,1,J,1376.62
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,2,X,2019.74
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,3,D,1007.53
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,4,A,763.95
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,5,X,1126.53
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,6,B,938.96
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,7,S,1163.45
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,8,Q,1124.57
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,9,W,1041.42
2025-11-24T07:43:26.471912,Petr,Letters,Small,Moving,Text field + Enter,Shaking frame,True,Random colors,White,0.5,3.0,10,10,E,1250.49
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,1,M,1313.58
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,2,W,1344.8
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,3,N,782.43
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,4,K,1242.42
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,5,O,995.45
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,6,L,1052.09
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,7,F,937.27
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,8,M,938.26
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,9,F,762.05
2025-11-24T07:44:47.467744,Petr,Letters,Large,Static,Text field + Enter,Static frame,False,Random colors,White,0.5,3.0,10,10,R,781.12
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,1,V,1104.02
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,2,F,2667.42
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,3,E,1295.36
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,4,M,1137.28
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,5,G,1095.28
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,6,U,1415.54
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,7,G,1048.3
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,8,B,1018.22
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,9,N,1003.93
2025-11-24T07:46:46.188075,Petr,Letters,Large,Moving,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,10,B,1174.79
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,1,Q,1322.32
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,2,R,2733.14
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,3,R,998.59
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,4,X,1653.51
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,5,L,2139.84
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,6,J,1175.68
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,7,W,1138.02
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,8,R,1323.24
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,9,H,998.09
2025-11-24T07:56:44.369008,Petr,Letters,Small,Moving,Text field + Enter,Static frame,False,Random colors,Random colors,0.5,3.0,10,10,O,1298.07
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,1,G,1524.02
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,2,N,1268.11
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,3,E,1468.14
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,4,C,1041.92
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,5,U,1510.63
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,6,R,863.51
2025-11-24T07:57:55.282684,Petr,Letters,Large,Static,Text field + Enter,Shaking frame,True,Black,White,0.5,7.0,10,7,C,1253.24
